,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Unnamed: 70
1025,United Arab Emirates,ARE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75906148063517,8.62972120984848,7.6695379976034,8.3237222448449,5.61210552340521,4.87553180534483,4.69230626722928,4.6114776396626,3.65647067832081,3.22597447304637,3.28052136989454,3.6680226492701,5.45710777311036,6.03859220826788,5.46631452753061,5.07555649376756,6.03468625064444,5.64365135247024,,,,,,,,,,,,
6853,Germany,DEU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.75239529712865,3.72257751371672,4.47513526890496,4.87658326540949,4.36398517673384,4.07211656897412,3.89118320865712,4.05878248265452,3.3906038798747,3.38287545977261,2.99867169564358,3.04603413911262,3.15283099924127,3.14497732538136,3.24603091379624,3.26800346106044,3.12103802490174,3.0242158535872,3.03531502721566,2.95044791851167,2.94762841980312,3.02778521542503,3.02023629678599,3.01294853266969,2.91266607299653,2.85409355351334,2.77739964953778,2.75945364827544,2.62867334017811,2.52069658026011,2.50676361181222,1.97382250348754,1.8360797299954,1.6772597330503,1.5366036133542,1.48727246874621,1.45737175283167,1.40270759051929,1.38165698909139,1.38034779906259,1.34421581953972,1.30789826898647,1.31344033426945,1.2986963477858,1.25072808117217,1.23275583821682,1.17898651377886,1.15279236258074,1.1888700534429,1.2847898688108,1.24181027958074,1.18233731589884,1.21725965761789,1.16213791467872,1.12769949450115,1.11541840455009,1.12912506140277,1.13126090102098,1.14814145777047,1.24014846331417,1.35598993512329,1.29982374349238,1.35030514561756,1.48796332620564,1.89190377205494,,
8341,"Egypt, Arab Rep.",EGY,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,6.67547918043622,8.6646884272997,10.3283898305085,10.1174345076784,8.71826883062838,8.90769850866586,11.1330438215555,14.3360534124629,15.9878828677213,17.1870121760849,13.5645302897278,13.5135135135135,17.2742435072671,15.4318460908719,13.7268961121734,13.1120584652862,9.94071348257181,6.4689378757515,6.16031027795734,7.41690962099125,7.18896060538616,7.95867393278837,8.26523207017322,7.85693305919735,7.49813056581541,6.52874277064007,5.06087662337662,3.96809895833333,3.4676995357893,3.61174470420041,3.21550063172359,3.09773699249923,3.15393465100637,3.08203623414837,2.97481186979645,2.84148521846447,2.65938329094369,2.56976747814276,2.55126513982739,2.98556856033807,3.27845479650374,3.17728527009726,2.87753123653597,2.71422040657605,2.60621860261331,2.37963467509709,2.18078548537016,2.03264504307225,1.95296705174529,1.83702551137618,1.64817579267929,1.61005697699419,1.68969483568075,1.72314742829085,1.66660515243227,1.42203170028818,1.24996619642133,1.18097179684711,1.12247550332399,1.12200927143154,1.01475596559521,0.808918707093165,0.665263620234986,,
10077,United Kingdom,GBR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,7.09248637082215,6.92138752285922,6.94416604105903,6.80074341068238,6.59605601313516,6.43697857340144,6.24903679676674,6.2357037120617,5.9411052003122,5.5021956389853,5.19741323809566,5.07633062254603,5.1710477559332,4.90616105746511,5.06942711490535,5.33960343915615,5.17550333681554,4.92327762103886,4.73304308586993,4.67975756747534,5.01990345888742,4.98376336921746,5.38132652115477,5.39688559001511,5.50807949805952,5.32070461905547,5.05982373679728,4.68666844260533,4.21428762838849,4.04095433156431,3.983217694585,4.11680242273171,3.86471776641263,3.59064951247979,3.38193371776532,2.85419949053587,2.72459232198324,2.56014877225605,2.49596227501881,2.42290959332375,2.3727966452319,2.41112210130721,2.48565967470705,2.55206201518244,2.49782136751626,2.42271607573388,2.36967440284241,2.37465777127738,2.4871500848402,2.64772453259797,2.56799960467203,2.49903987829525,2.41781748358099,2.29232047399432,2.18448549185402,2.04890800410498,1.98449096820719,1.95002885979327,1.94455569473457,1.98525373099586,2.16304030547387,2.07241748249759,2.05691855462534,2.23063973904322,2.2786177901127,,
25453,Saudi Arabia,SAU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,5.90269771731612,5.96630539757485,7.69008939728924,11.3242315101767,11.511831393137,8.08745489280408,9.5705156784069,9.40352743064788,8.64019411745418,10.0815515709133,10.8404475911154,,,,15.6488183967596,16.7365737918065,15.7688118060346,12.6133592387894,13.2652388797364,17.720246395916,16.9729273217747,19.0043483638924,16.9952008673515,,16.896414193661,15.1518818830933,13.3903165819013,14.0242926458954,12.4698079910217,11.2841579833052,12.4653722820651,10.644781673538,9.27846839011516,8.46807775904447,11.0009354234167,14.3110374500593,11.3819360225849,10.5344033130193,11.4190048869926,9.75806380053797,8.68711846455737,8.08155565898243,7.73059887481948,7.84836521143522,8.52704997826892,7.35343646797829,9.61719999229391,8.56567729417753,7.17239914861776,7.61580760228465,8.89019141193183,10.5350604637453,13.022838193007,9.56048239449097,9.84622692397792,8.81333517624339,7.79458844216861,8.7921741101353,7.22921983667662,6.39742215278993,7.28424248969983,7.2981029390103,,
31157,United States,USA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,8.99312458715278,9.15603150017123,9.33167294545842,8.83189118618018,8.0512811057284,7.58724717722602,8.43530028594507,9.41779593255137,9.26845427468793,8.63326379509104,8.03274358404085,6.94306960936061,6.51975692434716,5.8938705911674,5.95411119676015,5.62267909613336,5.19107142902555,5.15561735127125,4.94308724791688,4.95199153527265,5.15353746651636,5.64654125624258,6.81405709441284,6.32114425976717,6.23641652963897,6.4532192046686,6.62652265789842,6.42027402288488,6.0712777020948,5.87120600804653,5.60517529438794,4.88342939776313,4.97046680768284,4.60435029507644,4.2152646751779,3.8602457917389,3.55498220635218,3.40556224418855,3.20155849896996,3.08567678324746,3.11224214697679,3.12380980266703,3.44761809928778,3.82716104473623,4.01631273640692,4.08923187524508,4.04134230166038,4.07335051467688,4.44659552156261,4.87576835879774,4.90402300595835,4.82244197600452,4.4617099699335,4.02370560438155,3.67891817387645,3.46449292564277,3.40260233575118,3.2977234873792,3.3040005391035,3.40921408383721,3.64518757294704,3.40451991574826,3.30947715843109,3.304441637598,3.41921653228044,,
